emotion,tweet_no_emojis
0,ill be at work tomorrow. but we can get peoples together for a meet if you want. check when we are all free and stuffs
0,mom's gone. i already miss her  but in week and a half she'll be here again so.. yay! happiness again
0,I'm late today  couldnï¿½t wake up although I kept 3 alarms
0,Sooo tired..the earthquake scared the bagangalloos out meh  gahh skoo 2marrow fml!!..have a good day 2 err one else. Night night
0,I'm just too tired for missing any trains  Set the alarm in my phone in case I'm going to fall asleep
0,they didn't have ago at you did they?
0,no forum chat today then?  or later? for a minute there i thought you guys were saying u were in egypt or brazil! lol!
0," i  that banner  i would use it, but my default settings on hr for banners are messed up "
0,Missing GalaTrio Wish you guys were here
0,OhhmiiiiDAMN its a nice day for Clifton  and I have a full full day of lectures
0,spent four hours sunbathing  but now the trees are blocking a big enough patch of sun to put my towel in  x
0,".. so clueless for part A of my social diploma tomorrow. God please help me  I just need to pass social, i promise to be a better person"
0,Fusion è£¡é?¢ç  åºç?¾ BSOD äº
0,Looking for my  Pro disk now
0,"Maybe all of this was temporary, hmmmm  i dunno, i had some good times, it was fun while it lasted... "
0,just dyed meh hair pink and blue ppl keep givin me baaaad looks  but i LOVE it;
0,animeprincess29: iam sad da boy who ask me out did not call  wat a jerk AztecPrincess
0,haha i put airline on  i hate sunday daytime tv  its shit
0,besst frannn crann!!!  its empty here. hahahaa trixie says hi. GreenDay
0," same! and Bittersweet Symphony was my fav song for ages.. Always makes me sad  yup, and the characters are just shitty "
0,"SAW MAY ANN!!!  dude, havent seen her since my debut... I misses her "
0," Yep!! I'm defo getting ready for a gig!!  I'm sorry for your piccies tho...  But next time you'll be prepared, eh? LOL"
0,haha. I hvent recieved one   haha jk
0,Mylene and mario left  cutest movie night
0,haha ok  i want new shirts but no money
0,going to school....so tired   Jaime
0,just overcast here. I'm happy 'cos I got to &quot;work&quot; today
0,what about your fans in ny!?! especially me. i love you miley
0,You can see it both ways. Like  and . That's so cool and I'm distressed about not being there...
0," omg, that scene  I know I've seen the movie too many times when I can hear that in my head "
0,"No, I can't get SuperPreview to work with  SP3, either  #microsoftfail"
0,"someone hacked my twitter  grr  had a really good night, just one thing, one little thing bugged me but whatever gonna go to bed night"
0,man i want dan 333 haha yes cake cake! i have to pee
0,I miss you alot. Please be safe. I dont care who you are in the morning. Just be safe sorry had to get that out.
0,Still working on my homework. This rain storm is downing my vibe.  Rainstorm+Homework = LAMENESS.
0,must be kidding. No boys (definately)(I hope anyway ) and no girls (probably) honest I must be proper ugly no-one likes me
0,to be honest...wasting my time   it's just that i drank a cup of coffee and now i can't sleep
0,"Ow my belly  ok headed out with shaybe, on a quest to find my favorite ramen"
0,"BBQ TODAY!!!!! The sun is out, the grass is green, my trampoline is finally clean  but school is tomorrow  ...gutted!"
0,not good miserable lol how abouy yourself  also man i got alot of coursework to finish in for tomorrow
0," *returns have eaten lolly*  LMAO! Yeah, she was adorable! I was like  Aww, poor Torrie. She's so sweet.  "
0,watching the news for the first time since Obama's inauguration  boo prop 8
0,oh okay... not to see me then  you haveeee to go  otherwise i'll be stuck with my mum lol
0,"awwww, writing my resume's too difficult  how do i tell them i've taken 10 different jobs and quit them within the span of two months? "
0,I know!  I feel terrible about the Moron gurlz
0,Tied our hockey game 3. Were ahead most of the game and almost beat a team that's been unbeaten all-time. Screwed by the ref in the end
0,"DUN, DUN, DUUUN. YOU ARE NOW TALKING TO A SENIOR. > We've got the grads, the seniors (YAY) and the juniors. No sophomores.  WOO! "
0,GOOD OMG YESS GOOD ARRGHH WHEN THEY GONNA COME!! lol i ditched my tv for this  haha good programmes were coming aswll
0,Work at 9AM...
0," haha  i feel so bad that i missed this videochat  well, ok we can do that but which shirt i have to put on ?  all ?!"
0,I lost one  then I re-gained it
0," I'm sure it does, I feel so awful for you. Thinking about losing a pet makes me want to cry  ilybb"
0,Good Night. Cavs Lost  Great Night with Madi. I LOVE YOU
0,whyyy  i really want to hear Mc's new single! its okay post it here
0,wants to go on a holiday to India  its been ages since i went last..
0,so my friends are coming to see you on NYC...but im on stupid vaca in the stupid cayman islands so i cnt go  iloveyou
0,"D&amp 4E starter set is well written, comprehensive and smart, unlike the 3E set a friend gave us which is a pathetic mess. But I *like* 3E "
0,well damn...  its cold again
0," Man that sucks.  Yeah, anime kids are picky.  Lucky for me they love the Runaways.  BANK!"
0,"via     ) I had to repost this, probably old? But I laughed so hard "
0,to the lake  well yeah and it isn't so warm either!
0,"Woken at 8 * Played 5,5h Harvest Moon  * Yesterday night was nice ^^ * Sorry 4 you, Lisa  * Later Brauhaus again"
0," ... Lmao  no thanks, a lot of the guys here are gross "
0,text me...siting here  Amanda
0,once we have $ let's go get tats togetha. i miss my gf too  and i'm comin to norwood as soon as you give me the okay. BC
0,"I am REALLY tired, and think perhaps it is time for bed!  But worrying that I'm going to offend people by e-mailing them back today. "
0,"  Damn! Ill stick with my $25 Mp3 player for now. Im too poor for that. And if i werent, i am now cause of yesterday "
0,"just got up 2 c my darling on tv. but i didnt  ...had breakfast and tried to make a good white coffe ... well, was ok "
0,"Home, tired, but had a gooooood night. Loving awkward prom dates  AND OMFG I MISS NIKKI "
0,Maria left me  now its boring <BC>
