emotion,tweet
0,ill be at work tomorrow. but we can get peoples together for a meet if you want. check when we are all free and stuffs xD
0,mom's gone. i already miss her  but in week and a half she'll be here again so.. yay! happiness again xD
0,I'm late today  couldnï¿½t wake up although I kept 3 alarms o_O
0,Sooo tired..the earthquake scared the bagangalloos out meh  gahh skoo 2marrow fml!!..have a good day 2 err one else. Night night</3
0,I'm just too tired for missing any trains  Set the alarm in my phone in case I'm going to fall asleep XD
0,they didn't have ago at you did they? <3<3<3
0,no forum chat today then?  or later? for a minute there i thought you guys were saying u were in egypt or brazil! lol! xD
0," i <3 that banner xD i would use it, but my default settings on hr for banners are messed up "
0,Missing GalaTrio<3 Wish you guys were here
0,OhhmiiiiDAMN its a nice day for Clifton  and I have a full full day of lectures x_x
0,spent four hours sunbathing XD but now the trees are blocking a big enough patch of sun to put my towel in  x
0,".. so clueless for part A of my social diploma tomorrow. God please help me  I just need to pass social, i promise to be a better person<3"
0,Fusion è£¡é?¢ç XP åºç?¾ BSOD äº
0,Looking for my XP Pro disk now
0,"Maybe all of this was temporary, hmmmm  i dunno, i had some good times, it was fun while it lasted... o_O"
0,just dyed meh hair pink and blue ppl keep givin me baaaad looks  but i LOVE it;XD
0,animeprincess29: iam sad da boy who ask me out did not call  wat a jerk AztecPrincess:3
0,haha i put airline on xD i hate sunday daytime tv  its shit
0,besst frannn crann!!!  its empty here. hahahaa trixie says hi. GreenDay<3
0," same! and Bittersweet Symphony was my fav song for ages.. Always makes me sad  yup, and the characters are just shitty xD"
0,"SAW MAY ANN!!! XD dude, havent seen her since my debut... I misses her "
0," Yep!! I'm defo getting ready for a gig!! XD I'm sorry for your piccies tho...  But next time you'll be prepared, eh? LOL"
0,haha. I hvent recieved one  xD haha jk
0,Mylene and mario left  cutest movie night<3
0,haha ok XD i want new shirts but no money
0,going to school....so tired   Jaime<3
0,just overcast here. I'm happy 'cos I got to &quot;work&quot; today xD
0,what about your fans in ny!?! especially me. i love you miley<3
0,You can see it both ways. Like XD and DX. That's so cool and I'm distressed about not being there...
0," omg, that scene  I know I've seen the movie too many times when I can hear that in my head xD"
0,"No, I can't get SuperPreview to work with XP SP3, either  #microsoftfail"
0,"someone hacked my twitter  grr  had a really good night, just one thing, one little thing bugged me but whatever gonna go to bed night<3"
0,man i want dan <3333 haha yes cake cake! i have to pee  xD
0,I miss you alot. Please be safe. I dont care who you are in the morning. Just be safe<3 sorry had to get that out.
0,Still working on my homework. This rain storm is downing my vibe.  Rainstorm+Homework = LAMENESS. o_O
0,must be kidding. No boys (definately)(I hope anyway o_O) and no girls (probably) honest I must be proper ugly no-one likes me
0,to be honest...wasting my time xD  it's just that i drank a cup of coffee and now i can't sleep
0,"Ow my belly  ok headed out with shaybe, on a quest to find my favorite ramen<3"
0,"BBQ TODAY!!!!! The sun is out, the grass is green, my trampoline is finally clean XD but school is tomorrow  ...gutted!"
0,not good miserable lol how abouy yourself XD also man i got alot of coursework to finish in for tomorrow
0," *returns have eaten lolly* xD LMAO! Yeah, she was adorable! I was like  Aww, poor Torrie. She's so sweet. <3 "
0,watching the news for the first time since Obama's inauguration XD boo prop 8
0,oh okay... not to see me then :'( you haveeee to go  otherwise i'll be stuck with my mum lol xD
0,"awwww, writing my resume's too difficult XD how do i tell them i've taken 10 different jobs and quit them within the span of two months? "
0,I know! xD I feel terrible about the Moron gurlz
0,Tied our hockey game 3:3. Were ahead most of the game and almost beat a team that's been unbeaten all-time. Screwed by the ref in the end
0,"DUN, DUN, DUUUN. YOU ARE NOW TALKING TO A SENIOR. >;D We've got the grads, the seniors (YAY) and the juniors. No sophomores.  WOO! XD"
0,GOOD OMG YESS GOOD ARRGHH WHEN THEY GONNA COME!! lol i ditched my tv for this  haha good programmes were coming aswll XD
0,Work at 9AM... QQ
0," haha  i feel so bad that i missed this videochat  well, ok we can do that but which shirt i have to put on ? xD all ?!"
0,I lost one  then I re-gained it XD
0," I'm sure it does, I feel so awful for you. Thinking about losing a pet makes me want to cry  ilybb<3"
0,Good Night. Cavs Lost  Great Night with Madi. I LOVE YOU<3
0,whyyy  i really want to hear Mc's new single!:p its okay post it here:p
0,wants to go on a holiday to India O_O its been ages since i went last..
0,so my friends are coming to see you on NYC...but im on stupid vaca in the stupid cayman islands so i cnt go  iloveyou<3
0,"D&amp;D 4E starter set is well written, comprehensive and smart, unlike the 3E set a friend gave us which is a pathetic mess. But I *like* 3E "
0,well damn... XD its cold again
0," Man that sucks.  Yeah, anime kids are picky.  Lucky for me they love the Runaways. XD BANK!"
0,"via     ) I had to repost this, probably old? But I laughed so hard xD"
0,to the lake XD well yeah and it isn't so warm either!
0,"Woken at 8 * Played 5,5h Harvest Moon xD * Yesterday night was nice ^^ * Sorry 4 you, Lisa  * Later Brauhaus again"
0," ... Lmao XD no thanks, a lot of the guys here are gross "
0,text me...siting here  Amanda<3
0,once we have $ let's go get tats togetha. i miss my gf too  and i'm comin to norwood as soon as you give me the okay. BC<3
0,"I am REALLY tired, and think perhaps it is time for bed! O_O But worrying that I'm going to offend people by e-mailing them back today. "
0," o_o Damn! Ill stick with my $25 Mp3 player for now. Im too poor for that. And if i werent, i am now cause of yesterday "
0,"just got up 2 c my darling on tv. but i didnt  ...had breakfast and tried to make a good white coffe ... well, was ok xD"
0,"Home, tired, but had a gooooood night. Loving awkward prom dates XD AND OMFG I MISS NIKKI "
0,Maria left me  now its boring <<3BC<3>
0,still studying lines  goodnight all you tweeters out there<3 gonna be a great weekkk!
0,"watched newsline today at home. So yeah, that whole squashed 4:3 thing? Wasn't cool during rehearsals, and guess what... still not cool "
0,"Followers, why have you deserted me? [  x3 ]"
0,Bored  Might as well go and watch the logies o_O
0,"Watching Gilmore Girls, still in Pjs=D Suppose I should start doing Biology revision soon.... "
0,XP just blue screened on me. It might be a rare occurence but still fustrating.
0,"i am tired of sleeping on the couch, i miss my bed, i miss privacy, i miss talking to my girlfriend, and i miss having a mp3 player.  QQ"
0,aww  that is a long time. I would have like died if I went that long w/o seeing him  ...omg it is epic! such a dork<3
0,please take me to the metal hammer awards  i will be your slave forever<3
0,In Pittsburgh finally going to see sissy<3 and unfortunatly her bitch girlfriend err  ..
0," Fay and Chinomi hang out with you and they don't.  ... don't worry, we all have our own shortcomings, but that's cool too. XD"
0,Oh teh noes. XP installer has failed  Its crashed
0,this is ffxi! Everyone should be nice XD
0,#HTPC is being jumpy playing blu-ray  I blame Vista. Might try it with xp mce one day.
0,The bigger screen and better layout should help a lot with technical books. I'm starting to get DX envy already
0,"I don't want to smoke anything though.  I even stopped smoking the other herb except for like, one time last week. XD"
0,i just had dinner  so full had stickii date pudding for pudding hahaha XD
0,I have 3 computers all going now.  IE 7 on XP and IE 8 on Vista  all are still NO Shows!
0,up super early for the dentist   then off to another awesomely long day at work... :-/ vacation=3.5 weeks away!
0,Meeting up with hubby. xD Which I have to do... now.
0,"Well, g2g now  got a phyc appoint. bullucks, cnat stand them, well twitterers I give each and ever1 of u a hug xD xx #scarlettomcflylogo"
0,at my sister's. omg still so much homework and stuff to do  gonna be fun xD
0,I'm on there and you're not talking  XD
0,i have some of those in my folder and i never knew who made em xD i can only draw stick people  xD #andyhurleyday
0,WKD and sore neck isn't funny   But I'm watching &quot;What Should You Do&quot; half tipsy...half fun? xD
0,My iTunes Library has seen every major iTunes release; moved from OS 9->XP->OS X; 5G iPod->iPhone-> iPhone 3G. It's time to rebuild. RIP
0," xD Some guy shouted it REALLY loudly at slam dunk,i was upset "
0,D: off to derby soon  Driving was fun today xD I only crashed into a curb :')
0,emily is over tonight XD work experience is over. Jen I'm  going to miss seeing you like everyday
0,"Long weekend! To do list: Bones Season2&amp;3, Sims3 and Skins Season 2. I have no life "
0," oh of course XD sorry i missed your point, i think both our points are very valid. i'm still at schooool "
0,just back from town met Ms. Curtin aww the memories :L shes so nice too awws i miss having her as a teacher  its so sunny outside XD
0," haha XD YEAh, cancelled shows suck  Luckily for me they didn't cancell the shows in California ;) So hopefully i will be"
0,no offence simon you rock at scripting XD just the ones i use seem to cause me so much pain
0,"BO to Muslim world:&quot;I'm with you&quot; Iranians: &quot;help us BO&quot;, BO:&quot;tough s--t, your battle, not mine&quot; WTF?! Yeah BO what a great leader.. "
0,yeah... i USED to speak with them... but I drifted XD hahaha. and well from my weird angle...it's looks really immature
0,Hands are so cold that my ring is about to slip off  impractical solution: keep finger bent XD
0,"Tired....!!!!!!!!!!!!!!!!!  and angry, pissed off and happy... hmmm? xP F**ked up mood xD"
0," C4 didn't treat me well at all  I've got a few neat things up and running mainly appearance enhancements also iHalo, Macman XD"
0,LOL Cooper is cooped up ;] Hate those things.  Though I call them Jenny Long Legs.. xD No idea why.
0," I want the &quot;Meet the Medic&quot; video already  Spy, Scout and Heavy are my favorite XD why yes, I've found tf2 slash >_>; (i<3it)"
0,Disappointed by the performance of C&amp;C:RA3 on my macbook pro. Dropped frames all over the place. Boo
0,way to bring me down today ..  wasnt really expecting my grad dinner to go that way.   thank u to every1 who watched it online!. POPUT<3
0,"I want my &quot;Sure Sild&quot;  Can't find theeem. (&quot;Sure Sild&quot; is Norwegian for sour herring, but It's candy, not fish xD)"
0,"can't access ESXi from win 7 (bug) so started XP vm; can't RDP to it, so need to access console, which is broken in win 7, PERFECT CIRCLE "
0,i wanna see up oh so badly  msbj<3
0,im really sorry  pls forgive me xD
0,someone sent me a mixi invite (*^u^*) ~ but I got caught up on the phone number bit  ~ oh well.. we'll keep trying.  XP
0,"just watched the 3rd season of The O.C., Marissa died. Very sad  going on with season 4 now xD"
0," oh sorry honey, i never wanted you to be so bored  but tomorrow we see each other again  after 10 years , so amzing xD"
0,LOL XD im ok thanks just about to start my homework :\ back to school tomorrow after my week off  why dont you have school? <3
0,Also made an especially obvious mistake...which the whole CTK heard o_O  STUPID ME.
0,"My Ipod isn't broken anymore<3 I will now watch a movie. I dunno what to do tomorrow  Gonna stay up late, i guess :3"
0,Whut. I use Windows XP!
0,I'm boreddddddd  someone come amuse meee xD
0,"I have to rant now, but no spoilers for supernatural, torchwood, or star trek! Promise! Lol XD So, im upset about sam &amp; dean in spn... "
0,got the hiccups  Necie laughing at moi xD
0,new ask swifty was fucking hilarious xD i wish it was longer though
0,I loveeeeeeee youuuuuu xD Will u ever read this and write me back?  jejeje (I'm not crazy by the way...just in case!!! )
0," Hello, Diversity Won XD I wanted flawless to win but that wasnt the case  Nevermind"
0,It's the best..no real ONE meaning..punctuation makes it different! i.e. Booga?  BOOGA!   Booga!   BOOGA?! o_O
0,ah iam cold and i have cramps  talk to me<3
0,Just realized that this is a CAREER... Not just a job o_O im a young professional. so this is the path to the rest of my LIFE?!?  scar ...
