emotion,tweet_unicode_emojis
0,ill be at work tomorrow. but we can get peoples together for a meet if you want. check when we are all free and stuffs U+1F606
0,mom's gone. i already miss her  but in week and a half she'll be here again so.. yay! happiness again U+1F606
0,I'm late today  couldnï¿½t wake up although I kept 3 alarms U+1F633
0,Sooo tired..the earthquake scared the bagangalloos out meh  gahh skoo 2marrow fml!!..have a good day 2 err one else. Night nightU+1F494
0,I'm just too tired for missing any trains  Set the alarm in my phone in case I'm going to fall asleep U+1F606
0,they didn't have ago at you did they? <3U+2764 U+FE0FU+2764 U+FE0F
0,no forum chat today then?  or later? for a minute there i thought you guys were saying u were in egypt or brazil! lol! U+1F606
0," i <3 that banner U+1F606 i would use it, but my default settings on hr for banners are messed up "
0,Missing GalaTrioU+2764 U+FE0F Wish you guys were here
0,OhhmiiiiDAMN its a nice day for Clifton  and I have a full full day of lectures U+1F635
0,spent four hours sunbathing U+1F606 but now the trees are blocking a big enough patch of sun to put my towel in  x
0,".. so clueless for part A of my social diploma tomorrow. God please help me  I just need to pass social, i promise to be a better personU+2764 U+FE0F"
0,Fusion è£¡é?¢ç U+1F61D åºç?¾ BSOD äº
0,Looking for my U+1F61D Pro disk now
0,"Maybe all of this was temporary, hmmmm  i dunno, i had some good times, it was fun while it lasted... U+1F633"
0,just dyed meh hair pink and blue ppl keep givin me baaaad looks  but i LOVE it;U+1F606
0,animeprincess29: iam sad da boy who ask me out did not call  wat a jerk AztecPrincessU+1F63A
0,haha i put airline on U+1F606 i hate sunday daytime tv  its shit
0,besst frannn crann!!!  its empty here. hahahaa trixie says hi. GreenDayU+2764 U+FE0F
0," same! and Bittersweet Symphony was my fav song for ages.. Always makes me sad  yup, and the characters are just shitty U+1F606"
0,"SAW MAY ANN!!! U+1F606 dude, havent seen her since my debut... I misses her "
0," Yep!! I'm defo getting ready for a gig!! U+1F606 I'm sorry for your piccies tho...  But next time you'll be prepared, eh? LOL"
0,haha. I hvent recieved one  U+1F606 haha jk
0,Mylene and mario left  cutest movie nightU+2764 U+FE0F
0,haha ok U+1F606 i want new shirts but no money
0,going to school....so tired   JaimeU+2764 U+FE0F
0,just overcast here. I'm happy 'cos I got to &quot;work&quot; today U+1F606
0,what about your fans in ny!?! especially me. i love you mileyU+2764 U+FE0F
0,You can see it both ways. Like U+1F606 and U+1F629. That's so cool and I'm distressed about not being there...
0," omg, that scene  I know I've seen the movie too many times when I can hear that in my head U+1F606"
0,"No, I can't get SuperPreview to work with U+1F61D SP3, either  #microsoftfail"
0,"someone hacked my twitter  grr  had a really good night, just one thing, one little thing bugged me but whatever gonna go to bed nightU+2764 U+FE0F"
0,man i want dan <3333 haha yes cake cake! i have to pee  U+1F606
0,I miss you alot. Please be safe. I dont care who you are in the morning. Just be safeU+2764 U+FE0F sorry had to get that out.
0,Still working on my homework. This rain storm is downing my vibe.  Rainstorm+Homework = LAMENESS. U+1F633
0,must be kidding. No boys (definately)(I hope anyway U+1F633) and no girls (probably) honest I must be proper ugly no-one likes me
0,to be honest...wasting my time U+1F606  it's just that i drank a cup of coffee and now i can't sleep
0,"Ow my belly  ok headed out with shaybe, on a quest to find my favorite ramenU+2764 U+FE0F"
0,"BBQ TODAY!!!!! The sun is out, the grass is green, my trampoline is finally clean U+1F606 but school is tomorrow  ...gutted!"
0,not good miserable lol how abouy yourself U+1F606 also man i got alot of coursework to finish in for tomorrow
0," *returns have eaten lolly* U+1F606 LMAO! Yeah, she was adorable! I was like  Aww, poor Torrie. She's so sweet. <3 "
0,watching the news for the first time since Obama's inauguration U+1F606 boo prop 8
0,oh okay... not to see me then :'( you haveeee to go  otherwise i'll be stuck with my mum lol U+1F606
0,"awwww, writing my resume's too difficult U+1F606 how do i tell them i've taken 10 different jobs and quit them within the span of two months? "
0,I know! U+1F606 I feel terrible about the Moron gurlz
0,Tied our hockey game 3U+1F63A. Were ahead most of the game and almost beat a team that's been unbeaten all-time. Screwed by the ref in the end
0,"DUN, DUN, DUUUN. YOU ARE NOW TALKING TO A SENIOR. >;D We've got the grads, the seniors (YAY) and the juniors. No sophomores.  WOO! U+1F606"
0,GOOD OMG YESS GOOD ARRGHH WHEN THEY GONNA COME!! lol i ditched my tv for this  haha good programmes were coming aswll U+1F606
0,Work at 9AM... U+1F62D
0," haha  i feel so bad that i missed this videochat  well, ok we can do that but which shirt i have to put on ? U+1F606 all ?!"
0,I lost one  then I re-gained it U+1F606
0," I'm sure it does, I feel so awful for you. Thinking about losing a pet makes me want to cry  ilybbU+2764 U+FE0F"
0,Good Night. Cavs Lost  Great Night with Madi. I LOVE YOUU+2764 U+FE0F
0,whyyy  i really want to hear Mc's new single!:p its okay post it hereU+1F61B
0,wants to go on a holiday to India U+1F633 its been ages since i went last..
0,so my friends are coming to see you on NYC...but im on stupid vaca in the stupid cayman islands so i cnt go  iloveyouU+2764 U+FE0F
0,"D&ampU+1F609 4E starter set is well written, comprehensive and smart, unlike the 3E set a friend gave us which is a pathetic mess. But I *like* 3E "
0,well damn... U+1F606 its cold again
0," Man that sucks.  Yeah, anime kids are picky.  Lucky for me they love the Runaways. U+1F606 BANK!"
0,"via     ) I had to repost this, probably old? But I laughed so hard U+1F606"
0,to the lake U+1F606 well yeah and it isn't so warm either!
0,"Woken at 8 * Played 5,5h Harvest Moon U+1F606 * Yesterday night was nice ^^ * Sorry 4 you, Lisa  * Later Brauhaus again"
0," ... Lmao U+1F606 no thanks, a lot of the guys here are gross "
0,text me...siting here  AmandaU+2764 U+FE0F
0,once we have $ let's go get tats togetha. i miss my gf too  and i'm comin to norwood as soon as you give me the okay. BCU+2764 U+FE0F
0,"I am REALLY tired, and think perhaps it is time for bed! U+1F633 But worrying that I'm going to offend people by e-mailing them back today. "
0," U+1F633 Damn! Ill stick with my $25 Mp3 player for now. Im too poor for that. And if i werent, i am now cause of yesterday "
0,"just got up 2 c my darling on tv. but i didnt  ...had breakfast and tried to make a good white coffe ... well, was ok U+1F606"
0,"Home, tired, but had a gooooood night. Loving awkward prom dates U+1F606 AND OMFG I MISS NIKKI "
0,Maria left me  now its boring <<3BCU+2764 U+FE0F>
0,still studying lines  goodnight all you tweeters out thereU+2764 U+FE0F gonna be a great weekkk!
0,"watched newsline today at home. So yeah, that whole squashed 4U+1F63A thing? Wasn't cool during rehearsals, and guess what... still not cool "
0,"Followers, why have you deserted me? [  U+1F63A ]"
0,Bored  Might as well go and watch the logies U+1F633
